Filippo Zana,Bardiani-CSF-Faizanè,Unclassed,50,4
Cesare Benedetti,BORA - hansgrohe,Unclassed,86,4
Patrick Gamper,BORA - hansgrohe,Unclassed,16,4
Paweł Poljański,BORA - hansgrohe,Unclassed,64,4
Kamil Gradek,CCC Team,Unclassed,143,4
Pavel Kochetkov,CCC Team,Unclassed,0,4
Mathias Le Turnier,Cofidis Solutions Crédits,Unclassed,0,4
Marco Mathis,Cofidis Solutions Crédits,Unclassed,50,4
Stéphane Rossetto,Cofidis Solutions Crédits,Unclassed,46,4
Sean Bennett,EF Pro Cycling,Unclassed,51,4
James Whelan,EF Pro Cycling,Unclassed,66,4
Jacopo Guarnieri,Groupama - FDJ,Unclassed,83,4
Simon Guglielmi,Groupama - FDJ,Unclassed,52,4
Ignatas Konovalovas,Groupama - FDJ,Unclassed,32,4
Benjamin Thomas,Groupama - FDJ,Unclassed,8,4
Alexander Cataford,Israel Start-Up Nation,Unclassed,8,4
Guy Sagiv,Israel Start-Up Nation,Unclassed,8,4
Sander Armée,Lotto Soudal,Unclassed,164,4
Adam Hansen,Lotto Soudal,Unclassed,6,4
Stefano Oldani,Lotto Soudal,Unclassed,224,4
Harm Vanhoucke,Lotto Soudal,Unclassed,568,4
Brent Bookwalter,Mitchelton-Scott,Unclassed,0,4
Cameron Meyer,Mitchelton-Scott,Unclassed,0,4
Héctor Carretero,Movistar Team,Unclassed,115,4
Antonio Pedrero,Movistar Team,Unclassed,288,4
Einer Augusto Rubio,Movistar Team,Unclassed,170,4
Albert Torres,Movistar Team,Unclassed,135,4
Matteo Sobrero,NTT Pro Cycling,Unclassed,247,4
Dylan Sunderland,NTT Pro Cycling,Unclassed,16,4
Tobias Foss,Team Jumbo-Visma,Unclassed,175,4
Christoph Pfingsten,Team Jumbo-Visma,Unclassed,6,4
Nico Denz,Team Sunweb,Unclassed,340,4
Julien Bernard,Trek - Segafredo,Unclassed,46,4
Antonio Nibali,Trek - Segafredo,Unclassed,6,4
Simone Bevilacqua,Vini Zabù - KTM,Unclassed,4,4
Marco Frapporti,Vini Zabù - KTM,Unclassed,154,4
Matteo Spreafico,Vini Zabù - KTM,Unclassed,4,4
Etienne Van Empel,Vini Zabù - KTM,Unclassed,139,4
Edoardo Zardini,Vini Zabù - KTM,Unclassed,65,4
